Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Director de Arte,Vision Digital,Medellin,Vision Digital busca un perfil como director de arte para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de director de arte y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de director de arte, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.738.654,tiempo_completo,mid,"Illustrator, UX, Photoshop",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Innovapp Labs,Bogota,Innovapp Labs busca un perfil como ingeniero de datos para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero de datos y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero de datos, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimientos solidos en estructuras de datos y algoritmos.",5.109.067,pasantia,mid,"AWS, Docker, Python",2025-05-17 17:58:17,True,ingenieria_informatica
Community Manager,DigitalBoost,Cali,DigitalBoost busca un perfil como community manager para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de community manager y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de community manager, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.214.680,pasantia,junior,"Google Ads, Social Media, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Industrial,Constructora Andes,Medellin,Constructora Andes busca un perfil como ingeniero industrial para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero industrial y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero industrial, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",9.744.859,tiempo_completo,senior,"Proyectos, Matlab, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Analista Financiero,Capital Consulting,Medellin,Capital Consulting busca un perfil como analista financiero para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimiento de normativas contables y tributarias.",5.983.335,medio_tiempo,mid,"Contabilidad, Finanzas, SAP",2025-05-17 17:58:17,True,finanzas
Fisioterapeuta,Hospital San Jose,Bogota,Hospital San Jose busca un perfil como fisioterapeuta para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de fisioterapeuta y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de fisioterapeuta, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, registro profesional vigente y certificaciones actualizadas.",1.476.543,tiempo_completo,entry,"BLS, Historia Clinica, Etica profesional",2025-05-17 17:58:17,True,salud
Instructor de Programacion,Coder Academy,Bogota,Coder Academy busca un perfil como instructor de programacion para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de instructor de programacion y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de instructor de programacion, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, experiencia en planeacion curricular y evaluacion educativa.",2.894.379,pasantia,junior,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Gerente de Operaciones,Global Admin,Bogota,Global Admin busca un perfil como gerente de operaciones para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de gerente de operaciones y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de gerente de operaciones, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",5.765.528,remoto,mid,"Planificacion estrategica, Liderazgo, ERP",2025-05-17 17:58:17,True,administracion
HR Business Partner,TalentoPlus,Medellin,TalentoPlus busca un perfil como hr business partner para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de hr business partner y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de hr business partner, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.236.955,remoto,entry,"Compensaciones, Onboarding, Entrevistas",2025-05-17 17:58:17,True,recursos_humanos
Ilustrador Digital,Pixelarte,Bogota,Pixelarte busca un perfil como ilustrador digital para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de ilustrador digital y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ilustrador digital, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.926.036,remoto,junior,"Photoshop, UX, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
