Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Nutricionista,Clinica Reina Sofia,Bogota,Clinica Reina Sofia busca un perfil como nutricionista para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de nutricionista y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de nutricionista, Evaluar estado nutricional, Elaborar planes alimentarios, Orientar a los pacientes, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: nutricionista profesional, experiencia hospitalaria, rethus vigente., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1350000,remoto,entry,"planificacion de dietas, educacion nutricional, valoracion nutricional",2025-05-03 15:45:44,True,salud
Enfermero jefe,Clinica del Country,Cartagena,Clinica del Country busca un perfil como enfermero jefe para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de enfermero jefe y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de enfermero jefe, Supervisar personal, Coordinar turnos, Liderar procesos de calidad, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: enfermero profesional, experiencia en liderar equipos, diplomado en uci es un plus., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2400000,medio_tiempo,senior,"coordinacion de personal, administracion de medicamentos, SAP",2025-05-01 15:45:44,True,salud
Tecnologo en radiologia,Coomeva EPS,Santa Marta,Coomeva EPS busca un perfil como tecnologo en radiologia para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de tecnologo en radiologia y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de tecnologo en radiologia, Tomar imagenes diagnosticas, Preparar pacientes, Procesar resultados, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnologo en radiologia, licencia vigente, experiencia en clinicas., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2250000,remoto,mid,"manejo de equipos RX, procesamiento de imagenes, atencion al paciente",2025-05-17 15:45:44,True,salud
Odontologo,Laboratorio Abbott Colombia,Bogota,Laboratorio Abbott Colombia busca un perfil como odontologo para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de odontologo y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de odontologo, Realizar tratamientos dentales, Diagnosticar patologias orales, Educar al paciente, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: odontologo con tarjeta profesional, minimo 2 anos de experiencia., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1250000,freelance,mid,"procedimientos odontologicos, diagnostico oral, radiografias dentales",2025-05-04 15:45:44,True,salud
Medico general,Clinica Reina Sofia,Manizales,Clinica Reina Sofia busca un perfil como medico general para integrarse a su equipo en Manizales. El candidato ideal debera demostrar habilidades solidas en el area de medico general y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de medico general, Realizar consultas, Formular tratamientos, Remitir a especialistas, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: medico titulado, tarjeta profesional, experiencia en consulta externa., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2000000,freelance,senior,"diagnostico clinico, historia clinica, manejo de pacientes",2025-04-23 15:45:44,True,salud
Auxiliar administrativo en salud,Hospital Pablo Tobon Uribe,Bucaramanga,Hospital Pablo Tobon Uribe busca un perfil como auxiliar administrativo en salud para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar administrativo en salud y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar administrativo en salud, Registrar datos de pacientes, Gestionar citas, Elaborar facturacion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico o tecnologo en gestion administrativa, experiencia en ips., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2500000,tiempo_completo,mid,"manejo de historias clinicas, atencion al usuario, facturacion en salud",2025-05-18 15:45:44,True,salud
Auxiliar administrativo en salud,Sura EPS,Cartagena,Sura EPS busca un perfil como auxiliar administrativo en salud para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar administrativo en salud y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar administrativo en salud, Registrar datos de pacientes, Gestionar citas, Elaborar facturacion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico o tecnologo en gestion administrativa, experiencia en ips., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1250000,freelance,mid,"manejo de historias clinicas, atencion al usuario, facturacion en salud",2025-05-06 15:45:44,True,salud
Fisioterapeuta,Hospital Pablo Tobon Uribe,Medellin,Hospital Pablo Tobon Uribe busca un perfil como fisioterapeuta para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de fisioterapeuta y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de fisioterapeuta, Ejecutar terapias, Disenar planes de tratamiento, Evaluar progreso del paciente, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en fisioterapia, experiencia en rehabilitacion, rethus actualizado., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",600000,pasantia,entry,"rehabilitacion fisica, ejercicios terapeuticos, atencion domiciliaria",2025-05-15 15:45:44,True,salud
Nutricionista,Compensar,Barranquilla,Compensar busca un perfil como nutricionista para integrarse a su equipo en Barranquilla. El candidato ideal debera demostrar habilidades solidas en el area de nutricionista y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de nutricionista, Evaluar estado nutricional, Elaborar planes alimentarios, Orientar a los pacientes, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: nutricionista profesional, experiencia hospitalaria, rethus vigente., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1500000,tiempo_completo,entry,"planificacion de dietas, educacion nutricional, valoracion nutricional",2025-05-12 15:45:44,True,salud
Odontologo,Colsanitas,Manizales,Colsanitas busca un perfil como odontologo para integrarse a su equipo en Manizales. El candidato ideal debera demostrar habilidades solidas en el area de odontologo y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de odontologo, Realizar tratamientos dentales, Diagnosticar patologias orales, Educar al paciente, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: odontologo con tarjeta profesional, minimo 2 anos de experiencia., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1600000,pasantia,senior,"procedimientos odontologicos, diagnostico oral, radiografias dentales",2025-04-25 15:45:44,True,salud
Enfermero jefe,Coomeva EPS,Pereira,Coomeva EPS busca un perfil como enfermero jefe para integrarse a su equipo en Pereira. El candidato ideal debera demostrar habilidades solidas en el area de enfermero jefe y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de enfermero jefe, Supervisar personal, Coordinar turnos, Liderar procesos de calidad, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: enfermero profesional, experiencia en liderar equipos, diplomado en uci es un plus., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1250000,freelance,mid,"coordinacion de personal, administracion de medicamentos, SAP",2025-05-02 15:45:44,True,salud
