Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Director de planeacion,Postobon,Barranquilla,Postobon requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",2.298.553,freelance,entry,"Manejo de bases de datos, Contabilidad basica, Gestion documental, Presupuestos, ERP",2025-04-30 20:47:29,True,administracion
Secretaria ejecutiva,Bancolombia,Barranquilla,Bancolombia requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",6.183.002,medio_tiempo,senior,"Excel, Power BI, ERP, Contabilidad basica, Manejo de agendas",2025-05-11 07:12:29,True,administracion
Auxiliar contable,Colpatria,Manizales,Colpatria requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",2.846.902,tiempo_completo,entry,"Manejo de agendas, Normas ISO, Excel, Planificacion estrategica, SAP",2025-04-24 18:08:29,True,administracion
Analista de operaciones,Bancolombia,Cartagena,Bancolombia requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",2.620.414,tiempo_completo,entry,"ERP, Facturacion, Excel, Manejo de bases de datos, Contabilidad basica",2025-04-28 09:33:29,True,administracion
Gerente administrativo,Grupo Sura,Bogota,Grupo Sura requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.402.494,freelance,entry,"Planificacion estrategica, Excel, Facturacion, Presupuestos, Atencion al cliente, ERP",2025-04-27 00:27:29,True,administracion
Director de planeacion,Postobon,Cartagena,Postobon requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",6.305.973,medio_tiempo,senior,"Manejo de bases de datos, Gestion documental, Planificacion estrategica, Excel",2025-05-07 21:13:29,True,administracion
Analista de operaciones,Grupo Sura,Bucaramanga,Grupo Sura requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",3.190.979,freelance,entry,"Power BI, Contabilidad basica, Manejo de agendas, ERP",2025-05-03 07:27:29,True,administracion
Jefe de oficina,Colpatria,Medellin,Colpatria requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",4.215.478,pasantia,mid,"Gestion documental, Atencion al cliente, Planificacion estrategica, Facturacion, Redaccion de informes",2025-05-05 03:43:29,True,administracion
Director de planeacion,TCC,Barranquilla,TCC requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",6.211.986,medio_tiempo,senior,"Gestion documental, Atencion al cliente, Presupuestos, Planificacion estrategica",2025-05-05 11:14:29,True,administracion
Jefe de oficina,Colsubsidio,Cali,Colsubsidio requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",6.037.269,freelance,senior,"Planificacion estrategica, Power BI, Presupuestos, ERP, Normas ISO",2025-05-12 16:29:29,True,administracion
Analista de operaciones,Alpina,Medellin,Alpina requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",6.485.784,remoto,senior,"Gestion documental, Presupuestos, Manejo de agendas, Facturacion, SAP, ERP",2025-05-09 06:31:29,True,administracion
Jefe de oficina,Servientrega,Manizales,Servientrega requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",4.176.556,medio_tiempo,mid,"Contabilidad basica, ERP, Presupuestos, Atencion al cliente",2025-05-03 16:47:29,True,administracion
Jefe de oficina,Coomeva,Bucaramanga,Coomeva requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",4.094.221,pasantia,mid,"Normas ISO, Presupuestos, Redaccion de informes, Gestion documental, Manejo de bases de datos, SAP",2025-04-19 11:57:29,True,administracion
