Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
UX UI Designer,Tappsi,Santa Marta,Tappsi esta buscando un ux ui designer para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El ux ui designer sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",2.370.682,remoto,entry,"After Effects, Blender, Adobe XD",2025-05-16 16:14:01,True,diseno_grafico
Disenador grafico,Globant,Bogota,Globant esta buscando un disenador grafico para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El disenador grafico sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",2.299.728,freelance,senior,"After Effects, Illustrator, InDesign, Premiere",2025-05-14 16:14:01,True,diseno_grafico
Ilustrador digital,Laika,Cali,Laika esta buscando un ilustrador digital para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El ilustrador digital sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",1.457.590,medio_tiempo,mid,"Photoshop, Blender, Cinema 4D, Sketch, Illustrator",2025-05-18 16:14:01,True,diseno_grafico
Disenador de experiencia de usuario,Trece Group,Bogota,Trece Group esta buscando un disenador de experiencia de usuario para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El disenador de experiencia de usuario sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",3.136.199,remoto,mid,"Figma, Adobe XD, InDesign",2025-05-13 16:14:01,True,diseno_grafico
Ilustrador digital,Rockstar Games LATAM,Pereira,Rockstar Games LATAM esta buscando un ilustrador digital para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El ilustrador digital sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",843.815,pasantia,mid,"Sketch, After Effects, Illustrator, Figma, InDesign",2025-05-01 16:14:01,True,diseno_grafico
Animador 2D,Laika,Cartagena,Laika esta buscando un animador 2d para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El animador 2d sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",2.271.090,freelance,senior,"Premiere, Photoshop, InDesign, Blender",2025-04-24 16:14:01,True,diseno_grafico
Motion Designer,Trece Group,Manizales,Trece Group esta buscando un motion designer para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El motion designer sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",1.554.311,medio_tiempo,mid,"InDesign, Figma, Premiere, Blender, Adobe XD",2025-05-12 16:14:01,True,diseno_grafico
Director de arte,Tactico,Armenia,Tactico esta buscando un director de arte para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El director de arte sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",1.056.426,freelance,entry,"Premiere, InDesign, Cinema 4D, Illustrator, Figma",2025-04-24 16:14:01,True,diseno_grafico
Editor de video,Tactico,Medellin,Tactico esta buscando un editor de video para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El editor de video sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",2.777.588,tiempo_completo,mid,"Photoshop, InDesign, Premiere, Sketch, After Effects",2025-05-18 16:14:01,True,diseno_grafico
Motion Designer,Trece Group,Cartagena,Trece Group esta buscando un motion designer para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El motion designer sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",2.081.378,remoto,entry,"After Effects, Illustrator, Figma, InDesign, Adobe XD",2025-04-23 16:14:01,True,diseno_grafico
UX UI Designer,Platzi,Barranquilla,Platzi esta buscando un ux ui designer para unirse a su equipo creativo y contribuir al desarrollo de proyectos visuales innovadores que fortalezcan la identidad de marca y comuniquen eficazmente nuestros mensajes a traves de diferentes plataformas.,"El ux ui designer sera responsable de conceptualizar y desarrollar piezas graficas, colaborar con equipos multidisciplinarios, asegurar la coherencia visual de la marca y entregar materiales listos para produccion o publicacion segun los requerimientos del cliente.","Formacion en Diseno Grafico o campos afines, experiencia comprobada en roles similares, dominio de herramientas como Adobe Creative Suite y conocimientos en tendencias actuales de diseno y branding.",968.113,medio_tiempo,entry,"Adobe XD, Illustrator, Blender, Cinema 4D",2025-04-24 16:14:01,True,diseno_grafico
