Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Coordinador de marketing digital,Falabella,Medellin,Falabella busca un coordinador de marketing digital apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de coordinador de marketing digital, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",4.847.239,tiempo_completo,mid,"HTML, CRM, Content Marketing, Google Data Studio, Analytics, SEO, Google Tag Manager",2025-04-28 05:21:58,True,marketing_digital
E-commerce Analyst,Laika,Bogota,Laika busca un e-commerce analyst apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de e-commerce analyst, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",6.891.531,tiempo_completo,senior,"HubSpot, Meta Business Suite, Email Marketing, WordPress",2025-05-07 11:22:58,True,marketing_digital
Analista de performance,Publicis Groupe,Bucaramanga,Publicis Groupe busca un analista de performance apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de analista de performance, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",4.759.285,freelance,mid,"SEM, Email Marketing, Canva, Google Data Studio, Meta Business Suite, Google Ads, Google Tag Manager",2025-05-01 11:19:58,True,marketing_digital
Coordinador de marketing digital,Imaginamos,Cartagena,Imaginamos busca un coordinador de marketing digital apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de coordinador de marketing digital, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",3.176.349,pasantia,entry,"Analytics, Copywriting, Ahrefs, Figma, Meta Business Suite, Google Data Studio",2025-05-18 17:35:58,True,marketing_digital
Content Strategist,Digital Ware,Barranquilla,Digital Ware busca un content strategist apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de content strategist, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",4.797.100,tiempo_completo,mid,"Google Ads, Analytics, CRM, Copywriting, Ahrefs, Google Data Studio, Figma",2025-05-09 16:12:58,True,marketing_digital
Content Strategist,Rappi,Cali,Rappi busca un content strategist apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de content strategist, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",6.124.452,medio_tiempo,senior,"CSS, SEM, HTML, Analytics, Google Tag Manager, HubSpot",2025-05-12 13:27:58,True,marketing_digital
Content Strategist,Merkle,Barranquilla,Merkle busca un content strategist apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de content strategist, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",3.095.696,tiempo_completo,entry,"Copywriting, HTML, Analytics, Content Marketing, WordPress, Meta Business Suite, CSS",2025-04-28 09:28:58,True,marketing_digital
Analista de performance,Falabella,Medellin,Falabella busca un analista de performance apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de analista de performance, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",6.243.289,freelance,senior,"SEO, Meta Business Suite, Google Tag Manager, Figma, CSS, HTML, WordPress",2025-04-19 05:44:58,True,marketing_digital
SEO Manager,Merkle,Cali,Merkle busca un seo manager apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de seo manager, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",2.840.598,remoto,entry,"Meta Business Suite, Google Data Studio, Google Ads, Ahrefs, SEO",2025-04-22 14:35:58,True,marketing_digital
Content Strategist,Falabella,Bogota,Falabella busca un content strategist apasionado por generar impacto digital con soluciones innovadoras y orientadas a resultados.,"En este rol, deberas liderar estrategias especificas relacionadas con el puesto de content strategist, optimizando campañas, generando reportes de rendimiento y colaborando con equipos interdisciplinarios.","Profesional en marketing, comunicacion o carreras afines, con experiencia comprobada en roles similares y dominio de herramientas clave del marketing digital. Certificaciones como Google Ads o Meta Blueprint son un plus.",4.702.325,tiempo_completo,mid,"Canva, Content Marketing, HubSpot, SEO",2025-04-26 03:33:58,True,marketing_digital
