Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Ingeniero QA,Ecopetrol,Bogota,Ecopetrol esta buscando un ingeniero qa apasionado por la tecnologia para trabajar en Bogota. Responsable de la calidad del software a traves de pruebas manuales y automatizadas.,"Crear planes de prueba, ejecutar pruebas automatizadas y documentar errores.",Experiencia con herramientas de pruebas como Selenium y metodologias Agile.,8776888,pasantia,senior,"C#, .NET, Azure",2025-05-17 17:58:17,True,ingenieria
Ingeniero Industrial,Alkosto,Barranquilla,Alkosto esta buscando un ingeniero industrial apasionado por la tecnologia para trabajar en Barranquilla. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",4712612,pasantia,mid,"Java, Spring, Docker",2025-05-17 17:59:17,True,ingenieria_informatica
Ingeniero Backend,Sura,Medellin,Sura esta buscando un ingeniero backend apasionado por la tecnologia para trabajar en Medellin. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",3757988,pasantia,junior,"GCP, BigQuery, Airflow",2025-05-17 18:00:17,True,ingenieria
Ingeniero Electronico,Rappi,Cali,Rappi esta buscando un ingeniero electronico apasionado por la tecnologia para trabajar en Cali. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",11018966,medio_tiempo,senior,"JavaScript, React, Node.js",2025-05-17 18:01:17,True,ingenieria
Ingeniero Backend,Carvajal,Cali,Carvajal esta buscando un ingeniero backend apasionado por la tecnologia para trabajar en Cali. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",6190064,pasantia,mid,"Java, Spring, Docker",2025-05-17 18:02:17,True,ingenieria_informatica
Ingeniero Backend,Avianca,Cali,Avianca esta buscando un ingeniero backend apasionado por la tecnologia para trabajar en Cali. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",5788913,pasantia,mid,"Linux, Kubernetes, Terraform",2025-05-17 18:03:17,True,ingenieria_informatica
Ingeniero de Seguridad,Tigo,Cali,Tigo esta buscando un ingeniero de seguridad apasionado por la tecnologia para trabajar en Cali. El profesional sera responsable de identificar y mitigar vulnerabilidades.,"Auditar sistemas, implementar controles de seguridad y capacitar al equipo en mejores practicas.","Formacion en ciberseguridad, manejo de firewalls y herramientas de auditoria.",9033189,pasantia,senior,"C#, .NET, Azure",2025-05-17 18:04:17,True,ingenieria_informatica
Ingeniero de Automatizacion,Avianca,Medellin,Avianca esta buscando un ingeniero de automatizacion apasionado por la tecnologia para trabajar en Medellin. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",6302394,pasantia,mid,"GCP, BigQuery, Airflow",2025-05-17 18:05:17,True,ingenieria_informatica
Ingeniero DevOps,Rappi,Barranquilla,Rappi esta buscando un ingeniero devops apasionado por la tecnologia para trabajar en Barranquilla. El rol implica automatizar y optimizar los pipelines de entrega continua.,"Configurar entornos de despliegue continuo, gestionar infraestructura como codigo y monitorear servicios.","Familiaridad con herramientas CI/CD, contenedores y servicios en la nube.",5943171,tiempo_completo,mid,"JavaScript, React, Node.js",2025-05-17 18:06:17,True,ingenieria_informatica
Ingeniero Frontend,Avianca,Cali,Avianca esta buscando un ingeniero frontend apasionado por la tecnologia para trabajar en Cali. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",11800185,pasantia,senior,"C#, .NET, Azure",2025-05-17 18:07:17,True,ingenieria_informatica
Ingeniero DevOps,Ecopetrol,Cartagena,Ecopetrol esta buscando un ingeniero devops apasionado por la tecnologia para trabajar en Cartagena. El rol implica automatizar y optimizar los pipelines de entrega continua.,"Configurar entornos de despliegue continuo, gestionar infraestructura como codigo y monitorear servicios.","Familiaridad con herramientas CI/CD, contenedores y servicios en la nube.",3635021,medio_tiempo,junior,"Java, Spring, Docker",2025-05-17 18:08:17,True,ingenieria_informatica
Ingeniero de Software,Bancolombia,Cali,Bancolombia esta buscando un ingeniero de software apasionado por la tecnologia para trabajar en Cali. El candidato ideal debera participar en el ciclo completo de desarrollo de software.,"Desarrollar y mantener aplicaciones escalables, colaborar con otros desarrolladores y participar en revisiones de codigo.","Experiencia en desarrollo de aplicaciones, manejo de frameworks modernos y control de versiones.",4380269,medio_tiempo,mid,"Python, SQL, AWS",2025-05-17 18:09:17,True,ingenieria_informatica
Ingeniero Backend,Postobon,Medellin,Postobon esta buscando un ingeniero backend apasionado por la tecnologia para trabajar en Medellin. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",6558503,medio_tiempo,mid,"C#, .NET, Azure",2025-05-17 18:10:17,True,ingenieria_informatica
Ingeniero Backend,ISA,Pereira,ISA esta buscando un ingeniero backend apasionado por la tecnologia para trabajar en Pereira. Participara en diversos proyectos tecnicos de la compania.,"Colaborar en proyectos tecnicos, realizar mantenimiento de sistemas y proponer mejoras tecnologicas.","Formacion en ingenieria o area afin, experiencia tecnica relevante y capacidad de trabajo en equipo.",3647852,tiempo_completo,junior,"Java, Spring, Docker",2025-05-17 18:11:17,True,ingenieria_informatica
