Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Director de Arte,Vision Digital,Medellin,Vision Digital esta en busqueda de un director de arte para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.738.654,tiempo_completo,mid,"Illustrator, UX, Photoshop",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Innovapp Labs,Bogota,Innovapp Labs esta en busqueda de un ingeniero de datos para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.109.067,pasantia,mid,"AWS, Docker, Python",2025-05-17 17:58:17,True,ingenieria_informatica
Community Manager,DigitalBoost,Cali,DigitalBoost esta en busqueda de un community manager para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.214.680,pasantia,junior,"Google Ads, Social Media, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Industrial,Constructora Andes,Medellin,Constructora Andes esta en busqueda de un ingeniero industrial para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",9.744.859,tiempo_completo,senior,"Proyectos, Matlab, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Analista Financiero,Capital Consulting,Medellin,Capital Consulting esta en busqueda de un analista financiero para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.983.335,medio_tiempo,mid,"Contabilidad, Finanzas, SAP",2025-05-17 17:58:17,True,finanzas
Fisioterapeuta,Hospital San Jose,Bogota,Hospital San Jose esta en busqueda de un fisioterapeuta para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.476.543,tiempo_completo,entry,"BLS, Historia Clinica, Etica profesional",2025-05-17 17:58:17,True,salud
Instructor de Programacion,Coder Academy,Bogota,Coder Academy esta en busqueda de un instructor de programacion para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.894.379,pasantia,junior,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Gerente de Operaciones,Global Admin,Bogota,Global Admin esta en busqueda de un gerente de operaciones para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.765.528,remoto,mid,"Planificacion estrategica, Liderazgo, ERP",2025-05-17 17:58:17,True,administracion
HR Business Partner,TalentoPlus,Medellin,TalentoPlus esta en busqueda de un hr business partner para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.236.955,remoto,entry,"Compensaciones, Onboarding, Entrevistas",2025-05-17 17:58:17,True,recursos_humanos
Ilustrador Digital,Pixelarte,Bogota,Pixelarte esta en busqueda de un ilustrador digital para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.926.036,remoto,junior,"Photoshop, UX, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Backend,Andes Software,Cali,Andes Software esta en busqueda de un desarrollador backend para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.891.054,medio_tiempo,mid,"Git, SQL, Python",2025-05-17 17:58:17,True,ingenieria_informatica
Analista Marketing,Agencia Viral,Cali,Agencia Viral esta en busqueda de un analista marketing para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.501.672,contrato,junior,"Social Media, SEO, Google Ads",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Ecomec Ingenieria,Medellin,Ecomec Ingenieria esta en busqueda de un ingeniero civil para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.780.283,pasantia,junior,"Proyectos, Matlab, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Asesor de Inversiones,Banco Andino,Cali,Banco Andino esta en busqueda de un asesor de inversiones para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",8.975.741,pasantia,senior,"Contabilidad, Finanzas, SAP",2025-05-17 17:58:17,True,finanzas
Medico General,Hospital San Jose,Bogota,Hospital San Jose esta en busqueda de un medico general para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.267.699,pasantia,junior,"Historia Clinica, BLS, Etica profesional",2025-05-17 17:58:17,True,salud
Docente de Matematicas,Universidad Metropolitana,Cali,Universidad Metropolitana esta en busqueda de un docente de matematicas para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.899.120,tiempo_completo,junior,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Asistente Administrativo,Global Admin,Cali,Global Admin esta en busqueda de un asistente administrativo para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.773.597,tiempo_completo,entry,"ERP, Liderazgo, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
Especialista en Compensaciones,TalentoPlus,Medellin,TalentoPlus esta en busqueda de un especialista en compensaciones para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.648.889,remoto,junior,"Entrevistas, Onboarding, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Director de Arte,Vision Digital,Cali,Vision Digital esta en busqueda de un director de arte para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.314.404,remoto,entry,"UI, UX, Illustrator",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Cloudbyte,Cali,Cloudbyte esta en busqueda de un ingeniero de datos para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",9.012.706,remoto,senior,"Python, Git, SQL",2025-05-17 17:58:17,True,ingenieria_informatica
Especialista SEO,DigitalBoost,Bogota,DigitalBoost esta en busqueda de un especialista seo para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.627.888,medio_tiempo,junior,"Analytics, Google Ads, SEO",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Grupo Proyectos,Bogota,Grupo Proyectos esta en busqueda de un ingeniero civil para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.499.694,remoto,mid,"Matlab, AutoCAD, Proyectos",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Capital Consulting,Cali,Capital Consulting esta en busqueda de un contador publico para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.351.323,medio_tiempo,entry,"Contabilidad, Finanzas, Excel",2025-05-17 17:58:17,True,finanzas
Medico General,Hospital San Jose,Medellin,Hospital San Jose esta en busqueda de un medico general para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.869.949,medio_tiempo,junior,"Historia Clinica, Etica profesional, BLS",2025-05-17 17:58:17,True,salud
Coordinador Academico,Colegio Horizontes,Bogota,Colegio Horizontes esta en busqueda de un coordinador academico para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.227.459,pasantia,entry,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Jefe de Logistica,Andes Operaciones,Medellin,Andes Operaciones esta en busqueda de un jefe de logistica para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.057.998,pasantia,junior,"Liderazgo, ERP, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
Coordinador de Seleccion,TalentoPlus,Bogota,TalentoPlus esta en busqueda de un coordinador de seleccion para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.916.232,contrato,junior,"Onboarding, Entrevistas, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Disenador UX/UI,Pixelarte,Bogota,Pixelarte esta en busqueda de un disenador ux/ui para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.975.368,pasantia,junior,"UI, Creatividad, Illustrator",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Andes Software,Bogota,Andes Software esta en busqueda de un ingeniero de datos para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.357.474,tiempo_completo,junior,"AWS, Git, SQL",2025-05-17 17:58:17,True,ingenieria_informatica
Especialista SEO,GrowthMKT,Bogota,GrowthMKT esta en busqueda de un especialista seo para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.941.701,contrato,senior,"Google Ads, Social Media, SEO",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Mecanico,Ecomec Ingenieria,Cali,Ecomec Ingenieria esta en busqueda de un ingeniero mecanico para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.510.250,tiempo_completo,mid,"ISO, AutoCAD, Proyectos",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Banco Andino,Medellin,Banco Andino esta en busqueda de un contador publico para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.803.917,pasantia,junior,"Finanzas, Excel, Contabilidad",2025-05-17 17:58:17,True,finanzas
Fisioterapeuta,Hospital San Jose,Cali,Hospital San Jose esta en busqueda de un fisioterapeuta para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.737.344,pasantia,senior,"BLS, Historia Clinica, Etica profesional",2025-05-17 17:58:17,True,salud
Coordinador Academico,Coder Academy,Cali,Coder Academy esta en busqueda de un coordinador academico para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.223.337,contrato,junior,"TIC educativas, Didactica, Planificacion",2025-05-17 17:58:17,True,educacion
Jefe de Logistica,Servicios Integrales PRO,Medellin,Servicios Integrales PRO esta en busqueda de un jefe de logistica para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.331.599,medio_tiempo,mid,"ERP, Planificacion estrategica, Liderazgo",2025-05-17 17:58:17,True,administracion
Analista de Talento Humano,TalentoPlus,Cali,TalentoPlus esta en busqueda de un analista de talento humano para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.674.482,medio_tiempo,entry,"Entrevistas, Onboarding, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Ilustrador Digital,Vision Digital,Cali,Vision Digital esta en busqueda de un ilustrador digital para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.931.090,remoto,entry,"UI, Illustrator, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Frontend,Andes Software,Medellin,Andes Software esta en busqueda de un desarrollador frontend para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",8.850.073,medio_tiempo,senior,"Docker, SQL, AWS",2025-05-17 17:58:17,True,ingenieria_informatica
Community Manager,DigitalBoost,Cali,DigitalBoost esta en busqueda de un community manager para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.353.287,remoto,entry,"Google Ads, SEO, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Ecomec Ingenieria,Medellin,Ecomec Ingenieria esta en busqueda de un ingeniero civil para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.513.649,tiempo_completo,entry,"Matlab, ISO, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Capital Consulting,Medellin,Capital Consulting esta en busqueda de un contador publico para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.861.677,pasantia,senior,"Finanzas, SAP, Contabilidad",2025-05-17 17:58:17,True,finanzas
Medico General,Hospital San Jose,Cali,Hospital San Jose esta en busqueda de un medico general para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.818.260,remoto,mid,"BLS, Etica profesional, Historia Clinica",2025-05-17 17:58:17,True,salud
Coordinador Academico,Coder Academy,Bogota,Coder Academy esta en busqueda de un coordinador academico para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",7.691.323,tiempo_completo,senior,"Planificacion, TIC educativas, Didactica",2025-05-17 17:58:17,True,educacion
Jefe de Logistica,Andes Operaciones,Cali,Andes Operaciones esta en busqueda de un jefe de logistica para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.376.045,pasantia,senior,"Liderazgo, Planificacion estrategica, ERP",2025-05-17 17:58:17,True,administracion
HR Business Partner,Great Teams,Bogota,Great Teams esta en busqueda de un hr business partner para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.827.843,tiempo_completo,entry,"Onboarding, Entrevistas, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
